Player,Pos,Age,Tm,G_p,MP_p,PER_p,TS%_p,3PAr_p,FTr_p,ORB%_p,DRB%_p,TRB%_p,AST%_p,STL%_p,BLK%_p,TOV%_p,USG%_p,OWS_p,DWS_p,WS_p,WS/48_p,OBPM_p,DBPM_p,BPM_p,VORP_p,Year,SeasonType,MPG_p
Clint Capela,C,26,ATL,18,569,15.8,0.591,0.0,0.287,11.8,26.6,19.3,4.5,1.0,2.9,10.5,13.3,0.8,1.0,1.7,0.147,0.8,0.5,1.3,0.5,2021,Playoffs,31.61111111111111
Clint Capela,C,27,ATL,2,40,7.8,0.333,0.0,0.0,11.9,33.8,22.7,0.0,1.3,2.5,14.3,8.1,0.0,0.0,0.0,0.021,-2.2,-1.0,-3.1,0.0,2022,Playoffs,20.0
Clint Capela,C,28,ATL,6,151,16.5,0.615,0.0,0.158,9.8,27.6,17.9,2.6,1.9,1.9,9.0,12.2,0.2,0.1,0.3,0.103,0.4,-0.6,-0.2,0.1,2023,Playoffs,25.166666666666668
Coby White,PG,21,CHI,5,98,6.5,0.445,0.644,0.111,0.0,18.9,8.7,15.2,0.5,0.0,11.3,23.8,-0.2,0.1,-0.2,-0.078,-3.2,-1.3,-4.5,-0.1,2022,Playoffs,19.6
Cody Zeller,C,30,MIA,21,174,7.5,0.553,0.0,0.429,7.1,24.7,15.8,5.7,0.6,2.3,23.8,14.1,-0.1,0.2,0.1,0.024,-6.7,-0.1,-6.8,-0.2,2023,Playoffs,8.285714285714286
Cory Joseph,PG,27,IND,4,85,13.5,0.603,0.375,0.083,1.2,8.5,4.5,8.5,2.4,0.0,0.0,13.4,0.1,0.1,0.3,0.149,-0.7,2.8,2.1,0.1,2019,Playoffs,21.25
D'Angelo Russell,PG,22,BRK,5,148,11.6,0.446,0.359,0.126,1.3,12.1,6.3,22.1,2.2,0.5,11.4,33.6,-0.3,0.0,-0.3,-0.098,-1.1,-2.0,-3.1,0.0,2019,Playoffs,29.6
D'Angelo Russell,PG,25,MIN,6,196,8.5,0.455,0.431,0.222,0.0,8.1,4.3,32.2,2.1,0.0,17.7,21.0,-0.2,0.1,-0.1,-0.022,-1.8,-1.1,-2.9,0.0,2022,Playoffs,32.666666666666664
D'Angelo Russell,PG,26,LAL,16,473,12.2,0.516,0.446,0.133,2.4,7.9,5.3,23.2,1.1,1.0,12.3,21.9,0.0,0.4,0.4,0.039,-0.6,-1.1,-1.7,0.0,2023,Playoffs,29.5625
D.J. Augustin,PG,31,ORL,5,141,16.7,0.666,0.512,0.39,0.7,5.8,3.1,25.5,0.7,0.7,12.7,17.3,0.4,0.0,0.4,0.138,3.2,0.4,3.5,0.2,2019,Playoffs,28.2
D.J. Augustin,PG,32,ORL,5,128,15.0,0.588,0.37,0.5,0.0,8.4,4.0,36.9,0.4,0.0,17.6,22.7,0.2,0.1,0.2,0.089,1.6,-1.7,0.0,0.1,2020,Playoffs,25.6
D.J. Wilson,PF,22,MIL,8,43,6.6,0.563,0.313,0.125,2.4,20.2,11.7,14.7,0.0,2.1,29.3,23.8,-0.1,0.1,0.0,-0.036,-7.9,0.7,-7.2,-0.1,2019,Playoffs,5.375
Damian Lillard,PG,28,POR,16,650,20.6,0.566,0.479,0.345,1.3,11.1,6.2,28.0,2.1,0.6,13.6,29.4,1.2,0.4,1.6,0.119,4.9,-0.2,4.6,1.1,2019,Playoffs,40.625
Damian Lillard,PG,29,POR,4,143,18.7,0.618,0.516,0.516,0.7,9.6,5.2,19.8,0.7,0.6,15.1,27.0,0.3,0.0,0.3,0.102,5.9,-1.5,4.5,0.2,2020,Playoffs,35.75
Damian Lillard,PG,30,POR,6,248,30.4,0.66,0.582,0.373,0.5,11.4,6.1,41.3,1.2,1.5,7.7,30.7,1.5,0.0,1.5,0.286,12.2,0.0,12.2,0.8,2021,Playoffs,41.333333333333336
Damion Lee,SG,29,GSW,16,124,5.8,0.453,0.471,0.088,4.7,18.5,11.8,7.5,0.4,0.0,14.5,14.6,-0.1,0.1,0.0,-0.005,-4.1,-1.1,-5.2,-0.1,2022,Playoffs,7.75
Damion Lee,SG,30,PHO,8,89,5.2,0.407,0.75,0.1,5.4,9.0,7.2,6.8,1.1,0.0,4.6,10.8,0.0,0.0,0.0,-0.009,-3.6,-0.8,-4.5,-0.1,2023,Playoffs,11.125
Daniel Gafford,C,22,WAS,5,117,25.1,0.807,0.0,0.923,12.5,14.5,13.5,3.9,2.0,6.9,7.6,14.1,0.5,0.1,0.6,0.244,4.2,1.9,6.1,0.2,2021,Playoffs,23.4
Daniel Theis,C,26,BOS,7,42,7.9,0.403,0.143,0.143,10.2,13.9,12.1,0.0,1.1,2.2,6.3,16.6,0.0,0.1,0.0,0.03,-3.0,-1.2,-4.2,0.0,2019,Playoffs,6.0
Daniel Theis,C,27,BOS,17,482,13.4,0.578,0.222,0.282,7.8,19.9,14.1,7.8,0.6,4.3,10.2,13.6,0.7,0.8,1.5,0.148,-1.0,1.5,0.5,0.3,2020,Playoffs,28.352941176470587
Daniel Theis,C,29,BOS,16,200,14.2,0.633,0.275,0.157,7.6,21.2,14.6,8.9,1.0,3.7,16.8,14.7,0.2,0.3,0.6,0.134,-1.3,1.8,0.4,0.1,2022,Playoffs,12.5
Danilo Gallinari,SF,30,LAC,6,201,13.6,0.474,0.387,0.297,4.7,16.5,10.3,12.5,1.9,0.4,8.1,27.9,-0.1,-0.1,-0.1,-0.031,0.6,-3.0,-2.4,0.0,2019,Playoffs,33.5
Danilo Gallinari,PF,31,OKC,7,212,12.7,0.569,0.468,0.38,2.6,15.7,9.4,5.5,1.1,0.6,14.0,21.8,0.1,0.3,0.3,0.07,-0.2,-0.5,-0.6,0.1,2020,Playoffs,30.285714285714285
Danilo Gallinari,PF,32,ATL,18,442,13.3,0.587,0.483,0.299,2.0,15.2,8.6,4.9,0.7,0.6,7.1,21.2,0.5,0.5,1.0,0.108,1.2,-0.6,0.7,0.3,2021,Playoffs,24.555555555555557
Danilo Gallinari,PF,33,ATL,5,112,10.8,0.512,0.333,0.244,2.1,20.9,11.3,6.4,0.5,0.0,9.1,22.5,0.0,0.0,0.0,0.011,-0.6,-1.3,-1.8,0.0,2022,Playoffs,22.4
Danny Green,SG,31,TOR,24,684,7.6,0.503,0.768,0.148,2.7,11.3,7.0,5.4,2.3,1.6,13.6,12.6,-0.2,1.1,0.8,0.059,-2.2,1.5,-0.7,0.2,2019,Playoffs,28.5
Danny Green,SG,32,LAL,21,525,9.6,0.473,0.676,0.088,5.7,9.2,7.4,6.7,1.9,3.0,6.4,15.6,0.1,0.7,0.8,0.07,-1.2,0.5,-0.7,0.2,2020,Playoffs,25.0
Danny Green,SF,33,PHI,8,199,13.0,0.583,0.771,0.0,5.1,6.4,5.8,13.5,2.2,3.3,9.4,11.5,0.3,0.3,0.6,0.143,1.4,2.0,3.5,0.3,2021,Playoffs,24.875
Danny Green,SF,34,PHI,12,319,9.9,0.576,0.854,0.011,3.6,10.3,7.1,4.9,2.0,1.2,12.7,15.1,0.0,0.3,0.3,0.049,0.4,0.9,1.3,0.3,2022,Playoffs,26.583333333333332
Danny Green,SG,35,CLE,4,40,1.7,0.3,0.8,0.0,6.1,14.0,10.2,3.5,2.6,2.2,28.6,8.2,-0.1,0.1,0.0,-0.003,-7.8,3.1,-4.8,0.0,2023,Playoffs,10.0
Danuel House Jr.,SF,25,HOU,7,141,4.0,0.42,0.838,0.216,1.7,15.5,8.8,1.0,1.1,1.3,9.0,13.9,-0.2,0.1,0.0,-0.013,-3.9,-1.5,-5.4,-0.1,2019,Playoffs,20.142857142857142
Danuel House Jr.,SF,26,HOU,9,279,12.0,0.568,0.624,0.153,3.8,17.7,10.4,7.3,1.4,0.0,7.2,15.7,0.2,0.4,0.6,0.103,-0.4,0.5,0.1,0.2,2020,Playoffs,31.0
Danuel House Jr.,SF,28,UTA,6,112,5.2,0.509,0.455,0.364,2.1,15.5,8.8,5.5,0.0,1.1,19.0,13.2,-0.1,0.0,-0.1,-0.027,-2.7,-0.7,-3.4,0.0,2022,Playoffs,18.666666666666668
Danuel House Jr.,SF,29,PHI,7,42,9.9,0.466,0.476,0.048,0.0,34.1,16.6,4.4,0.0,0.0,4.5,24.7,-0.1,0.0,0.0,-0.025,-4.2,-1.1,-5.3,0.0,2023,Playoffs,6.0
Dario Šarić,C,26,PHO,14,147,15.2,0.616,0.4,0.311,7.2,18.6,13.2,13.4,0.7,0.6,10.5,17.8,0.3,0.2,0.5,0.169,0.5,1.2,1.7,0.1,2021,Playoffs,10.5
Darius Bazley,PF,19,OKC,7,126,14.3,0.65,0.71,0.323,1.7,36.0,19.5,7.3,0.0,2.9,14.5,14.2,0.2,0.2,0.3,0.133,2.7,3.0,5.7,0.2,2020,Playoffs,18.0
Darius Garland,PG,23,CLE,5,189,13.3,0.566,0.388,0.313,0.0,5.3,2.8,24.1,2.2,0.5,16.5,27.0,0.0,0.2,0.2,0.056,0.7,0.5,1.2,0.2,2023,Playoffs,37.8
Darren Collison,PG,31,IND,4,117,9.9,0.504,0.244,0.133,3.4,8.3,5.6,25.5,0.9,0.0,17.3,22.6,-0.1,0.1,0.0,0.009,-2.6,-1.5,-4.1,-0.1,2019,Playoffs,29.25
David Roddy,PF,21,MEM,6,76,6.2,0.391,0.69,0.034,5.0,18.7,11.4,7.7,0.0,2.3,3.3,16.8,-0.1,0.1,0.0,0.002,-2.0,0.3,-1.6,0.0,2023,Playoffs,12.666666666666666
Davion Mitchell,PG,24,SAC,7,140,9.6,0.514,0.587,0.13,2.1,4.5,3.3,11.9,2.0,0.7,11.0,15.5,0.0,0.1,0.1,0.047,-1.6,0.7,-0.9,0.0,2023,Playoffs,20.0
De'Aaron Fox,PG,25,SAC,7,270,18.9,0.524,0.382,0.248,4.4,10.1,7.2,33.6,2.6,1.4,13.3,31.0,0.2,0.3,0.5,0.092,4.0,1.0,5.0,0.5,2023,Playoffs,38.57142857142857
De'Andre Hunter,SF,23,ATL,5,152,7.1,0.519,0.356,0.356,1.4,12.8,7.2,2.8,0.3,1.7,11.9,17.2,-0.1,0.2,0.0,0.012,-2.5,-0.7,-3.2,0.0,2021,Playoffs,30.4
De'Andre Hunter,SF,24,ATL,5,175,16.8,0.673,0.371,0.286,1.4,12.0,6.6,3.5,1.2,0.6,12.2,23.6,0.3,0.1,0.4,0.108,2.1,0.8,2.9,0.2,2022,Playoffs,35.0
De'Andre Hunter,SF,25,ATL,6,224,10.8,0.559,0.447,0.118,3.1,14.3,8.2,4.2,0.9,0.8,9.1,18.1,0.1,0.0,0.1,0.016,-1.9,-1.2,-3.1,-0.1,2023,Playoffs,37.333333333333336
De'Anthony Melton,PG,22,MEM,5,83,9.9,0.467,0.645,0.161,4.9,17.4,10.7,7.6,0.6,5.1,8.3,18.4,0.0,0.0,-0.1,-0.03,-1.2,-1.7,-2.9,0.0,2021,Playoffs,16.6
De'Anthony Melton,SG,23,MEM,10,170,8.5,0.419,0.677,0.062,5.3,14.4,9.6,13.4,2.8,2.9,17.3,19.4,-0.3,0.3,0.0,-0.014,-2.8,0.3,-2.4,0.0,2022,Playoffs,17.0
De'Anthony Melton,SG,24,PHI,11,274,12.6,0.515,0.605,0.099,5.8,9.6,7.7,10.2,2.5,3.6,8.6,15.6,0.2,0.3,0.5,0.086,0.2,1.7,1.9,0.3,2023,Playoffs,24.90909090909091
DeMar DeRozan,SG,29,SAS,7,251,23.2,0.557,0.008,0.37,4.3,15.8,10.1,21.6,1.7,0.3,8.0,27.7,0.6,0.1,0.8,0.149,3.0,0.8,3.8,0.4,2019,Playoffs,35.857142857142854
DeMar DeRozan,PF,32,CHI,5,203,13.4,0.481,0.095,0.316,0.5,14.0,6.7,20.9,2.1,1.0,9.2,25.7,-0.2,0.3,0.1,0.019,-1.3,0.5,-0.8,0.1,2022,Playoffs,40.6
DeMarcus Cousins,C,28,GSW,8,133,11.0,0.477,0.226,0.472,8.0,25.2,16.9,20.7,1.8,4.4,22.9,27.1,-0.2,0.2,-0.1,-0.023,-4.9,1.4,-3.5,-0.1,2019,Playoffs,16.625
DeMarcus Cousins,C,30,LAC,7,58,25.6,0.55,0.238,0.333,12.2,15.7,14.0,17.7,1.8,5.0,9.4,42.7,0.1,0.1,0.1,0.115,0.6,-0.3,0.4,0.0,2021,Playoffs,8.285714285714286
DeMarcus Cousins,C,31,DEN,5,57,32.9,0.744,0.207,0.517,6.3,31.4,18.4,21.6,2.6,1.8,16.4,32.5,0.2,0.0,0.3,0.216,8.2,3.5,11.8,0.2,2022,Playoffs,11.4
DeMarre Carroll,PF,32,BRK,5,119,5.4,0.397,0.632,0.211,4.8,13.1,8.6,2.3,1.5,0.0,6.7,15.2,-0.1,0.0,-0.1,-0.047,-3.4,-2.0,-5.4,-0.1,2019,Playoffs,23.8
Deandre Ayton,C,22,PHO,22,801,19.5,0.674,0.0,0.226,9.9,25.3,18.1,4.7,1.1,2.8,9.8,16.3,1.9,1.5,3.4,0.203,2.1,0.9,3.0,1.0,2021,Playoffs,36.40909090909091
Deandre Ayton,C,23,PHO,13,397,23.5,0.653,0.024,0.201,10.2,24.1,17.4,9.3,0.6,2.4,9.6,22.9,1.2,0.2,1.4,0.167,3.4,0.2,3.6,0.6,2022,Playoffs,30.53846153846154
Deandre Ayton,C,24,PHO,10,319,13.9,0.553,0.0,0.207,10.9,24.4,17.8,4.4,0.9,1.8,12.3,19.0,0.1,0.2,0.3,0.047,-1.9,-1.6,-3.5,-0.1,2023,Playoffs,31.9
Dejounte Murray,SG,26,ATL,5,190,20.5,0.538,0.359,0.087,4.7,16.9,10.2,26.5,2.5,0.5,8.5,25.3,0.3,0.1,0.4,0.1,3.9,1.3,5.1,0.3,2023,Playoffs,38.0
Delon Wright,PG,27,DAL,4,53,13.6,0.656,0.2,0.5,2.0,4.2,3.1,17.6,4.4,0.0,29.1,14.0,0.0,0.0,0.0,0.03,-0.3,0.9,0.6,0.0,2020,Playoffs,13.25
Delon Wright,SG,29,ATL,5,137,15.9,0.622,0.448,0.31,9.5,11.7,10.6,16.8,1.5,0.7,13.2,12.8,0.3,0.1,0.4,0.13,3.3,1.5,4.8,0.2,2022,Playoffs,27.4
Dennis Schröder,PG,25,OKC,5,151,13.8,0.548,0.364,0.327,1.4,10.2,5.7,18.1,1.3,0.0,8.7,19.5,0.2,0.1,0.3,0.082,-0.2,0.6,0.4,0.1,2019,Playoffs,30.2
Dennis Schröder,PG,26,OKC,7,227,11.6,0.504,0.413,0.229,1.0,10.7,6.0,19.7,0.8,0.5,12.4,26.0,-0.1,0.2,0.1,0.019,-0.4,-0.9,-1.3,0.0,2020,Playoffs,32.42857142857143
Dennis Schröder,SG,27,LAL,6,196,11.1,0.528,0.371,0.371,0.6,10.2,5.2,15.2,1.6,0.5,10.9,20.8,0.0,0.2,0.2,0.056,-1.6,0.7,-0.9,0.1,2021,Playoffs,32.666666666666664
Dennis Schröder,PG,29,LAL,16,417,7.9,0.512,0.379,0.272,0.8,6.7,3.9,14.7,1.9,0.6,14.8,14.3,-0.1,0.4,0.3,0.036,-4.1,0.8,-3.4,-0.1,2023,Playoffs,26.0625
Derrick Favors,C,27,UTA,5,103,27.9,0.665,0.083,0.528,14.7,23.3,18.9,7.8,1.9,10.0,10.1,20.4,0.3,0.2,0.5,0.248,4.1,3.7,7.9,0.3,2019,Playoffs,20.6
Derrick Favors,C,29,UTA,11,145,14.7,0.686,0.0,0.391,15.9,20.8,18.4,2.9,0.7,6.2,18.2,10.1,0.3,0.1,0.4,0.125,-1.8,1.0,-0.7,0.0,2021,Playoffs,13.181818181818182
Derrick Jones Jr.,SF,22,MIA,15,97,13.4,0.573,0.529,0.294,7.4,6.9,7.1,10.4,3.1,5.1,9.4,9.9,0.1,0.1,0.3,0.135,-0.1,3.2,3.1,0.1,2020,Playoffs,6.466666666666667
Derrick Jones Jr.,PF,24,CHI,5,59,6.0,0.519,0.647,0.176,4.7,7.4,5.9,5.3,0.8,0.0,14.1,15.8,0.0,0.0,0.0,0.002,-4.7,-1.1,-5.8,-0.1,2022,Playoffs,11.8
Derrick Rose,PG,32,NYK,5,175,17.1,0.551,0.202,0.107,2.3,10.3,6.1,29.3,0.6,0.6,8.3,24.3,0.2,0.2,0.4,0.108,3.2,1.1,4.3,0.3,2021,Playoffs,35.0
Derrick White,PG,24,SAS,7,191,18.9,0.613,0.227,0.347,0.6,11.2,5.9,18.1,1.4,2.1,14.8,24.6,0.3,0.1,0.4,0.093,1.1,1.0,2.1,0.2,2019,Playoffs,27.285714285714285
Derrick White,SG,27,BOS,23,585,10.1,0.494,0.472,0.29,1.6,11.5,6.7,15.9,1.8,2.0,12.8,17.5,-0.1,0.9,0.8,0.065,-2.0,1.8,-0.1,0.3,2022,Playoffs,25.434782608695652
Derrick White,SG,28,BOS,20,593,16.2,0.671,0.598,0.185,2.6,8.6,5.7,10.3,1.0,3.0,8.3,16.5,1.4,0.5,1.9,0.151,2.2,0.8,3.0,0.8,2023,Playoffs,29.65
Desmond Bane,SG,22,MEM,5,99,14.2,0.737,0.632,0.0,2.1,18.3,9.5,12.5,1.9,2.2,13.6,9.4,0.2,0.0,0.2,0.093,1.8,1.9,3.7,0.1,2021,Playoffs,19.8
Desmond Bane,SG,23,MEM,12,428,16.0,0.645,0.553,0.22,1.2,10.4,5.5,9.3,1.2,2.1,8.4,18.2,0.9,0.5,1.3,0.15,2.9,0.6,3.5,0.6,2022,Playoffs,35.666666666666664
Desmond Bane,SG,24,MEM,6,231,13.3,0.548,0.431,0.25,2.9,13.7,7.9,14.4,0.6,0.0,11.7,26.4,0.1,0.2,0.3,0.056,1.1,-0.2,0.8,0.2,2023,Playoffs,38.5
Devin Booker,SG,24,PHO,22,889,16.1,0.558,0.289,0.31,2.0,12.9,7.8,18.3,1.0,0.4,13.1,31.8,0.1,1.1,1.2,0.066,0.7,-1.1,-0.4,0.4,2021,Playoffs,40.40909090909091
Devin Booker,SG,25,PHO,10,366,18.0,0.587,0.371,0.303,3.3,12.0,7.8,18.7,0.7,1.1,13.9,28.9,0.5,0.0,0.6,0.072,3.3,-1.3,2.0,0.4,2022,Playoffs,36.6
Devin Booker,SG,26,PHO,11,459,28.6,0.686,0.253,0.278,3.1,10.2,6.7,29.1,2.0,1.6,10.6,29.0,2.1,0.2,2.3,0.236,8.7,2.0,10.7,1.5,2023,Playoffs,41.72727272727273
Devonte' Graham,PG,26,NOP,6,60,11.5,0.558,0.778,0.444,3.7,14.7,8.9,9.4,0.9,1.4,15.7,18.3,0.1,0.0,0.1,0.049,-0.2,-1.0,-1.1,0.0,2022,Playoffs,10.0
Dewayne Dedmon,C,31,MIA,4,57,13.6,0.619,0.167,0.278,13.1,17.8,15.4,9.7,0.0,3.2,22.9,20.2,0.0,0.0,0.0,0.037,-2.4,-1.0,-3.4,0.0,2021,Playoffs,14.25
Dewayne Dedmon,C,32,MIA,14,138,11.2,0.527,0.222,0.267,12.4,23.9,17.9,5.7,0.4,2.4,12.2,18.5,0.1,0.2,0.3,0.104,-5.8,-0.4,-6.2,-0.1,2022,Playoffs,9.857142857142858
Dillon Brooks,SF,25,MEM,5,175,20.6,0.595,0.206,0.268,2.9,11.0,6.6,9.9,1.9,1.2,7.7,28.3,0.3,0.0,0.3,0.08,2.3,0.3,2.6,0.2,2021,Playoffs,35.0
Dillon Brooks,SF,26,MEM,11,335,6.9,0.44,0.419,0.145,2.4,7.3,4.7,13.8,1.5,0.9,10.7,25.1,-0.6,0.3,-0.3,-0.036,-3.3,-1.3,-4.6,-0.2,2022,Playoffs,30.454545454545453
Dillon Brooks,SF,27,MEM,6,167,2.4,0.393,0.545,0.091,1.7,9.8,5.5,10.3,0.3,0.0,8.0,21.8,-0.4,0.1,-0.3,-0.082,-6.1,-1.4,-7.5,-0.2,2023,Playoffs,27.833333333333332
Dion Waiters,SG,28,LAL,5,38,4.4,0.388,0.333,0.167,0.0,6.2,3.1,7.0,1.3,2.6,7.2,15.9,-0.1,0.0,0.0,-0.022,-6.4,-1.0,-7.3,-0.1,2020,Playoffs,7.6
Domantas Sabonis,C,22,IND,4,96,15.5,0.484,0.138,0.483,7.3,27.7,16.5,29.1,1.6,1.0,12.5,19.2,0.1,0.2,0.2,0.119,0.2,3.0,3.2,0.1,2019,Playoffs,24.0
Domantas Sabonis,C,26,SAC,7,243,15.9,0.517,0.051,0.283,12.6,19.9,16.2,20.8,1.9,2.3,18.9,22.4,0.0,0.3,0.3,0.064,0.1,0.7,0.7,0.2,2023,Playoffs,34.714285714285715
Donovan Mitchell,SG,22,UTA,5,193,6.8,0.423,0.384,0.295,3.7,10.2,6.8,15.5,2.0,0.6,14.2,32.5,-0.6,0.2,-0.5,-0.12,-3.3,-1.3,-4.6,-0.1,2019,Playoffs,38.6
Donovan Mitchell,SG,23,UTA,7,264,33.7,0.696,0.408,0.369,2.7,12.6,7.8,25.6,1.4,0.7,13.7,37.5,1.4,0.0,1.4,0.26,9.3,0.2,9.5,0.7,2020,Playoffs,37.714285714285715
Donovan Mitchell,PG,24,UTA,10,346,26.4,0.602,0.489,0.323,1.1,12.6,7.1,30.3,1.6,0.5,9.4,38.0,1.2,0.0,1.2,0.173,8.2,-0.4,7.8,0.9,2021,Playoffs,34.6
Donovan Mitchell,SG,25,UTA,6,229,19.0,0.505,0.361,0.316,3.1,10.1,6.6,29.8,0.9,1.6,9.6,34.3,0.2,0.1,0.3,0.054,3.9,-1.1,2.8,0.3,2022,Playoffs,38.166666666666664
Donovan Mitchell,SG,26,CLE,5,207,15.7,0.518,0.433,0.173,1.8,11.9,7.0,33.7,2.5,1.3,14.5,29.7,-0.1,0.3,0.3,0.059,2.7,2.0,4.8,0.4,2023,Playoffs,41.4
Donte DiVincenzo,SG,23,MIL,10,165,12.4,0.552,0.412,0.392,5.1,15.9,10.4,10.6,2.0,2.0,14.3,18.2,0.1,0.2,0.3,0.088,-2.1,2.1,-0.1,0.1,2020,Playoffs,16.5
Donte DiVincenzo,SG,24,MIL,3,70,2.3,0.25,0.75,0.0,3.0,26.6,14.6,13.8,2.1,1.3,27.3,13.5,-0.2,0.1,-0.1,-0.064,-6.7,2.2,-4.5,0.0,2021,Playoffs,23.333333333333332
Donte DiVincenzo,SG,26,GSW,13,235,10.4,0.512,0.688,0.188,4.8,12.5,8.6,19.9,2.2,1.1,19.7,15.1,0.0,0.3,0.3,0.06,-1.8,1.9,0.1,0.1,2023,Playoffs,18.076923076923077
Dorian Finney-Smith,PF,26,DAL,6,191,12.4,0.563,0.577,0.096,6.8,12.7,9.7,13.4,1.7,1.4,14.2,14.2,0.2,0.0,0.2,0.044,0.6,0.6,1.2,0.2,2020,Playoffs,31.833333333333332
Dorian Finney-Smith,PF,27,DAL,7,271,9.5,0.544,0.578,0.078,6.9,13.1,9.9,7.7,1.5,0.8,15.3,13.1,0.1,0.1,0.2,0.027,-0.9,0.0,-0.9,0.1,2021,Playoffs,38.714285714285715
Dorian Finney-Smith,PF,28,DAL,18,688,12.6,0.63,0.688,0.153,5.4,11.6,8.5,7.8,1.3,0.9,9.7,12.8,1.2,0.3,1.5,0.106,0.5,0.5,1.0,0.5,2022,Playoffs,38.22222222222222
Dorian Finney-Smith,PF,29,BRK,4,101,8.5,0.543,0.739,0.0,7.0,13.4,10.2,4.8,1.6,1.8,17.9,13.6,-0.1,0.1,0.0,0.009,-2.1,0.9,-1.2,0.0,2023,Playoffs,25.25
Doug McDermott,PF,28,IND,4,54,-0.6,0.333,0.667,0.0,0.0,6.7,3.3,2.7,0.9,0.0,6.3,13.6,-0.2,0.0,-0.2,-0.142,-5.5,-4.4,-9.9,-0.1,2020,Playoffs,13.5
Draymond Green,PF,28,GSW,22,851,16.5,0.561,0.249,0.31,5.7,23.9,15.1,30.8,1.8,3.8,24.2,17.5,1.0,1.0,2.0,0.111,0.3,3.2,3.6,1.2,2019,Playoffs,38.68181818181818
Draymond Green,PF,31,GSW,22,703,12.3,0.534,0.271,0.326,4.3,20.6,12.7,25.7,1.8,3.2,26.4,14.0,0.4,1.0,1.4,0.094,-2.0,2.9,0.9,0.5,2022,Playoffs,31.954545454545453
Draymond Green,PF,32,GSW,12,367,14.6,0.535,0.22,0.363,5.3,18.3,11.7,29.4,2.3,2.8,20.4,14.9,0.4,0.6,1.0,0.126,-1.2,4.1,2.8,0.5,2023,Playoffs,30.583333333333332
Duncan Robinson,SG,25,MIA,21,600,12.3,0.636,0.886,0.216,1.0,9.9,5.6,9.7,1.2,1.0,7.7,15.8,1.0,0.4,1.4,0.111,1.2,0.0,1.2,0.5,2020,Playoffs,28.571428571428573
Duncan Robinson,SF,26,MIA,4,100,9.0,0.614,0.931,0.345,0.0,11.2,5.4,5.0,1.5,0.0,10.7,16.4,0.0,0.1,0.1,0.045,-1.6,0.8,-0.8,0.0,2021,Playoffs,25.0
Duncan Robinson,SG,27,MIA,13,159,13.2,0.612,0.825,0.105,1.4,16.1,8.5,5.0,1.3,0.7,4.8,17.5,0.3,0.2,0.5,0.142,0.8,2.0,2.8,0.2,2022,Playoffs,12.23076923076923
Duncan Robinson,SF,28,MIA,23,418,14.0,0.641,0.715,0.051,0.3,9.2,4.6,14.5,1.0,0.7,11.0,19.5,0.6,0.3,0.9,0.101,1.4,0.9,2.3,0.5,2023,Playoffs,18.17391304347826
Dwight Howard,C,34,LAL,18,282,15.7,0.677,0.035,0.789,13.5,21.2,17.4,4.5,1.4,2.8,17.2,14.3,0.6,0.4,1.0,0.162,-2.3,0.3,-2.1,0.0,2020,Playoffs,15.666666666666666
Dwight Howard,C,35,PHI,12,149,16.2,0.588,0.033,1.333,19.9,34.9,27.6,6.9,0.6,3.3,20.1,17.2,0.2,0.3,0.5,0.171,-2.7,0.2,-2.5,0.0,2021,Playoffs,12.416666666666666
Dwight Powell,C,29,DAL,7,52,22.7,0.893,0.0,0.75,10.6,18.9,14.5,16.9,2.0,0.0,8.6,10.2,0.3,0.0,0.3,0.274,4.1,4.1,8.2,0.1,2021,Playoffs,7.428571428571429
Dwight Powell,C,30,DAL,18,249,9.3,0.643,0.057,0.657,7.9,14.4,11.1,2.4,0.6,2.2,16.6,10.3,0.3,0.1,0.4,0.086,-4.0,-0.4,-4.4,-0.2,2022,Playoffs,13.833333333333334
Dāvis Bertāns,PF,26,SAS,5,79,4.5,0.465,0.733,0.333,0.0,10.8,5.5,8.3,0.0,1.0,5.5,10.7,0.0,0.0,0.0,0.007,-3.8,-1.0,-4.8,-0.1,2019,Playoffs,15.8
Dāvis Bertāns,PF,28,WAS,4,106,8.5,0.615,0.852,0.259,0.0,11.7,5.6,1.3,0.4,1.5,3.2,12.3,0.1,0.0,0.1,0.057,-1.6,-1.1,-2.7,0.0,2021,Playoffs,26.5
Dāvis Bertāns,PF,29,DAL,18,192,13.0,0.606,0.927,0.218,2.4,13.7,8.0,4.9,2.2,0.9,4.7,15.6,0.3,0.2,0.4,0.112,0.0,0.9,0.9,0.1,2022,Playoffs,10.666666666666666
Džanan Musa,SF,20,BRK,3,39,4.1,0.408,0.545,1.273,2.4,5.6,3.9,14.6,0.0,2.5,14.9,21.3,-0.1,0.0,-0.1,-0.137,-5.8,-3.7,-9.5,-0.1,2020,Playoffs,13.0
E'Twaun Moore,SG,31,PHO,7,46,11.4,0.472,0.278,0.0,0.0,22.9,12.1,28.8,1.1,0.0,14.3,20.8,0.0,0.1,0.0,0.034,-2.6,1.8,-0.7,0.0,2021,Playoffs,6.571428571428571
Ed Davis,C,29,BRK,3,41,19.6,0.735,0.0,0.2,9.3,40.8,23.8,7.8,0.0,1.8,0.0,10.8,0.2,0.0,0.2,0.23,1.7,2.1,3.8,0.1,2019,Playoffs,13.666666666666666
